Percentiles,test,t
0.13217495606107302,B 10G,61100
0.13240818638434693,B 10G,61200
0.1326414167076208,B 10G,61300
0.13290796564850524,B 10G,61400
0.13316618493498705,B 10G,61500
0.13340774491266358,B 10G,61600
0.13365763454474275,B 10G,61700
0.13388253521361398,B 10G,61800
0.1341407545000958,B 10G,61900
0.13439897378657759,B 10G,62000
0.1346322041098515,B 10G,62100
0.13489875305073593,B 10G,62200
0.13515697233721774,B 10G,62300
0.1353652136972837,B 10G,62400
0.1356400922925708,B 10G,62500
0.13588165227024732,B 10G,62600
0.1361398715567291,B 10G,62700
0.13638143153440563,B 10G,62800
0.13662299151208215,B 10G,62900
0.13688121079856397,B 10G,63000
0.1371477597394484,B 10G,63100
0.13735600109951437,B 10G,63200
0.13765586865800938,B 10G,63300
0.13787243967247798,B 10G,63400
0.1381306589589598,B 10G,63500
0.13837221893663632,B 10G,63600
0.13861377891431284,B 10G,63700
0.1388803278551973,B 10G,63800
0.13915520645048438,B 10G,63900
0.13936344781055035,B 10G,64000
0.13962166709703214,B 10G,64100
0.13987988638351395,B 10G,64200
0.14008812774357993,B 10G,64300
0.14037133599326965,B 10G,64400
0.14061289597094617,B 10G,64500
0.14087111525742796,B 10G,64600
0.14110434558070187,B 10G,64700
0.14137922417598894,B 10G,64800
0.14161245449926282,B 10G,64900
0.1418456848225367,B 10G,65000
0.14210390410901852,B 10G,65100
0.1423537937410977,B 10G,65200
0.14260368337317686,B 10G,65300
0.14286190265965865,B 10G,65400
0.14309513298293253,B 10G,65500
0.14333669296060905,B 10G,65600
0.1436032419014935,B 10G,65700
0.1438364722247674,B 10G,65800
0.14406137289363866,B 10G,65900
0.144352910797731,B 10G,66000
0.14457781146660226,B 10G,66100
0.14481104178987614,B 10G,66200
0.14507759073076057,B 10G,66300
0.14533581001724238,B 10G,66400
0.14556904034051626,B 10G,66500
0.14581892997259543,B 10G,66600
0.14607714925907725,B 10G,66700
0.14632703889115642,B 10G,66800
0.14656859886883294,B 10G,66900
0.14682681815531473,B 10G,67000
0.1470767077873939,B 10G,67100
0.14729327880186252,B 10G,67200
0.1475514980883443,B 10G,67300
0.14781804702922877,B 10G,67400
0.14807626631571055,B 10G,67500
0.14832615594778972,B 10G,67600
0.1485760455798689,B 10G,67700
0.14881760555754542,B 10G,67800
0.1490674951896246,B 10G,67900
0.14929239585849582,B 10G,68000
0.14955894479938028,B 10G,68100
0.14980883443145943,B 10G,68200
0.15005039440913598,B 10G,68300
0.1502919543868125,B 10G,68400
0.15054184401889165,B 10G,68500
0.15080006330537346,B 10G,68600
0.15105828259185528,B 10G,68700
0.15131650187833706,B 10G,68800
0.15156639151041623,B 10G,68900
0.15179129217928747,B 10G,69000
0.15205784112017193,B 10G,69100
0.15228274178904316,B 10G,69200
0.15251597211231707,B 10G,69300
0.15279085070760415,B 10G,69400
0.15303241068528067,B 10G,69500
0.15328230031735984,B 10G,69600
0.15351553064063372,B 10G,69700
0.1537904092359208,B 10G,69800
0.15403196921359733,B 10G,69900
0.15429018850007914,B 10G,70000
0.15451508916895038,B 10G,70100
0.15476497880102955,B 10G,70200
0.15501486843310872,B 10G,70300
0.15528141737399315,B 10G,70400
0.1555063180428644,B 10G,70500
0.15577286698374884,B 10G,70600
0.156022756615828,B 10G,70700
0.1562559869391019,B 10G,70800
0.1565142062255837,B 10G,70900
0.15673910689445494,B 10G,71000
0.1570056558353394,B 10G,71100
0.1572638751218212,B 10G,71200
0.15750543509949771,B 10G,71300
0.15774699507717424,B 10G,71400
0.1579968847092534,B 10G,71500
0.15823844468692994,B 10G,71600
0.15849666397341175,B 10G,71700
0.15874655360549092,B 10G,71800
0.15898811358316745,B 10G,71900
0.15926299217845452,B 10G,72000
0.1594962225017284,B 10G,72100
0.15976277144261283,B 10G,72200
0.160012661074692,B 10G,72300
0.1602458913979659,B 10G,72400
0.1605041106844477,B 10G,72500
0.16075400031652687,B 10G,72600
0.16098723063980075,B 10G,72700
0.161212131308672,B 10G,72800
0.16145369128634854,B 10G,72900
0.16174522919044088,B 10G,73000
0.1619867891681174,B 10G,73100
